[WARNING] 2025-10-30 14:48:50,416 | django.server | "GET /favicon.ico HTTP/1.1" 404 11356
[INFO] 2025-10-30 14:49:09,833 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 14:49:10,894 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 14:49:19,778 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 14:49:20,116 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:04:57,566 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:04:58,101 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-30 15:05:04,948 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-30 15:05:04,952 | django.server | "GET /favicon.ico HTTP/1.1" 404 11356
[WARNING] 2025-10-30 15:05:28,071 | django.request | Not Found: /get-topic-files/1/
[WARNING] 2025-10-30 15:05:28,073 | django.server | "GET /get-topic-files/1/ HTTP/1.1" 404 11377
[INFO] 2025-10-30 15:12:46,268 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:12:46,917 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:12:51,087 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:12:51,516 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:12:54,046 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:12:54,383 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:12:55,099 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:12:55,398 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-30 15:13:17,016 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[INFO] 2025-10-30 15:13:30,283 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:13:30,700 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:41,842 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:42,108 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:42,586 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:42,589 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:43,297 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:43,918 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:46,834 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:47,063 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:47,210 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:47,411 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:47,715 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:48,097 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:49,404 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:49,750 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:50,480 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:50,812 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:51,473 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:51,816 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:52,581 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:56,344 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:57,309 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:57,634 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:19:58,323 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:19:58,651 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:24:36,396 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:24:36,801 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-30 15:25:52,398 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-30 15:25:52,404 | django.server | "GET /favicon.ico HTTP/1.1" 404 11642
[WARNING] 2025-10-30 15:26:01,462 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[INFO] 2025-10-30 15:26:43,966 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:26:44,419 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 15:29:46,654 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 15:29:47,073 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-30 15:47:12,238 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[WARNING] 2025-10-30 15:47:12,433 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-30 15:47:12,434 | django.server | "GET /favicon.ico HTTP/1.1" 404 11642
[WARNING] 2025-10-30 15:47:19,830 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
